Time,Load
20240109 04:30,86137.86
20240109 05:00,83981.7
20240109 05:30,83459.34
20240109 06:00,83896.86
20240109 06:30,87259.92
20240109 07:00,76323.89
20240109 07:30,64244.82
20240109 08:00,53388.62
20240109 08:30,47922.7
20240109 09:00,45568.91
20240109 09:30,43762.55
20240109 10:00,41197.46
20240109 10:30,39651.46
20240109 11:00,38191.29
20240109 11:30,36439.49
20240109 12:00,35179.42
20240109 12:30,32491.63
20240109 13:00,29774.85
20240109 13:30,27059.94
20240109 14:00,24134.95
20240109 14:30,22518.44
20240109 15:00,23531.93
20240109 15:30,27811.49
20240109 16:00,36084.25
20240109 16:30,44935.73
20240109 17:00,53118.33
20240109 17:30,59575.57
20240109 18:00,65316.6
20240109 18:30,70278.52
20240109 19:00,74012.19
20240109 19:30,76958.3
20240109 20:00,79945.9
20240109 20:30,82452.02
20240109 21:00,84294.21
20240109 21:30,84034.21
20240109 22:00,82486.03
20240109 22:30,79963.95
20240109 23:00,92407.06
20240109 23:30,93426.33
20240110 00:00,92216.68
20240110 00:30,88757.62
20240110 01:00,97482.34
20240110 01:30,97821
20240110 02:00,97999.88
20240110 02:30,96969.71
20240110 03:00,95442.52
20240110 03:30,92946.47
20240110 04:00,90667.52
20240110 04:30,87674.25
20240110 05:00,85004
20240110 05:30,84064.68
20240110 06:00,83313.68
20240110 06:30,86089.21
20240110 07:00,74258.4
20240110 07:30,63187.56
20240110 08:00,52344.44
20240110 08:30,45672.03
20240110 09:00,42735.49
20240110 09:30,40723.3
20240110 10:00,38221.43
20240110 10:30,36438.38
20240110 11:00,34881.3
20240110 11:30,32971.85
20240110 12:00,33127.21
20240110 12:30,30783.83
20240110 13:00,29356.88
20240110 13:30,27375.89
20240110 14:00,26719.18
20240110 14:30,25695.01
20240110 15:00,28924.16
20240110 15:30,33398.88
20240110 16:00,38416.62
20240110 16:30,45474.61
20240110 17:00,52782.67
20240110 17:30,58681.24
20240110 18:00,63848.91
20240110 18:30,67844.66
20240110 19:00,70893.98
20240110 19:30,72991.84
20240110 20:00,75578.24
20240110 20:30,77839.75
20240110 21:00,79052.91
20240110 21:30,78775.38
20240110 22:00,77529.93
20240110 22:30,74842.97
20240110 23:00,85578.93
20240110 23:30,85884.13
20240111 00:00,84049.74
20240111 00:30,80720.56
20240111 01:00,89423.3
20240111 01:30,90435.68
20240111 02:00,91367.2
20240111 02:30,91237.12
20240111 03:00,90778.83
20240111 03:30,88947.97
20240111 04:00,87271.19
20240111 04:30,84575.95
20240111 05:00,81892.05
20240111 05:30,80148.84
20240111 06:00,78983.72
20240111 06:30,80734.22
20240111 07:00,71812
20240111 07:30,67484.7
20240111 08:00,61014.87
20240111 08:30,55307.76
20240111 09:00,52260.49
20240111 09:30,49765.78
20240111 10:00,46054.81
20240111 10:30,44274.77
20240111 11:00,44128.21
20240111 11:30,44155.78
20240111 12:00,44259.55
20240111 12:30,42792.15
20240111 13:00,41825.95
20240111 13:30,41192.38
20240111 14:00,38613.29
20240111 14:30,37209.69
20240111 15:00,40642.09
20240111 15:30,45327.15
20240111 16:00,51242.78
20240111 16:30,58938.33
20240111 17:00,68051.79
20240111 17:30,75088.67
20240111 18:00,81388.28
20240111 18:30,86225.51
20240111 19:00,89454.4
20240111 19:30,91418.57
20240111 20:00,93763.98
20240111 20:30,95843.2
20240111 21:00,96983.63
20240111 21:30,96032.35
20240111 22:00,93750.87
20240111 22:30,90201.58
20240111 23:00,101467.46
20240111 23:30,102646.13
20240112 00:00,101550.85
20240112 00:30,97729.83
20240112 01:00,106081.98
20240112 01:30,105843.53
20240112 02:00,105636.51
20240112 02:30,104038.87
20240112 03:00,101870.27
20240112 03:30,98462.25
20240112 04:00,95680.22
20240112 04:30,92384.77
20240112 05:00,90515.16
20240112 05:30,90320.48
20240112 06:00,90628.87
20240112 06:30,94260.39
20240112 07:00,82268.34
20240112 07:30,70143.25
20240112 08:00,57998.21
20240112 08:30,51236.24
20240112 09:00,47736.38
20240112 09:30,44559.81
20240112 10:00,42032.86
20240112 10:30,40019.82
20240112 11:00,38265.49
20240112 11:30,36768.94
20240112 12:00,34502.45
20240112 12:30,31433.08
20240112 13:00,28299.22
20240112 13:30,25258.55
20240112 14:00,22746.76
20240112 14:30,20803.79
20240112 15:00,21632.14
20240112 15:30,25322.91
20240112 16:00,33123.13
20240112 16:30,41763.26
20240112 17:00,49841.66
20240112 17:30,55412.79
20240112 18:00,60575.32
20240112 18:30,64527.58
20240112 19:00,67428.67
20240112 19:30,69718.22
20240112 20:00,72167.94
20240112 20:30,74338.9
20240112 21:00,76093.69
20240112 21:30,76362.85
20240112 22:00,75745
20240112 22:30,74168.54
20240112 23:00,86175.63
20240112 23:30,87377.35
20240113 00:00,86373.94
20240113 00:30,83263.37
20240113 01:00,92055.58
20240113 01:30,92989.07
20240113 02:00,93507.45
20240113 02:30,93270.08
20240113 03:00,92633.4
20240113 03:30,90430.91
20240113 04:00,88241.7
20240113 04:30,85193.17
20240113 05:00,80578.71
20240113 05:30,76151.44
