Time,Load
20240111 15:30,59354.38
20240111 16:00,59537.67
20240111 16:30,64260.67
20240111 17:00,74824.34
20240111 17:30,83554.77
20240111 18:00,90768.33
20240111 18:30,96596.16
20240111 19:00,100590.56
20240111 19:30,103283.07
20240111 20:00,105834.28
20240111 20:30,107212.46
20240111 21:00,107070.64
20240111 21:30,104504.46
20240111 22:00,100604.99
20240111 22:30,95619.03
20240111 23:00,106856.57
20240111 23:30,108420.28
20240112 00:00,108359.33
20240112 00:30,106989.85
20240112 01:00,121414.74
20240112 01:30,125305.04
20240112 02:00,127717.27
20240112 02:30,128418.73
20240112 03:00,127816.93
20240112 03:30,125002.16
20240112 04:00,121993.93
20240112 04:30,117905.75
20240112 05:00,114372.45
20240112 05:30,113129.85
20240112 06:00,111695.71
20240112 06:30,113713.51
20240112 07:00,96239.78
20240112 07:30,86759.3
20240112 08:00,89862.37
20240112 08:30,102588.28
20240112 09:00,114534.98
20240112 09:30,120186.73
20240112 10:00,120769.58
20240112 10:30,118816.46
20240112 11:00,116692.51
20240112 11:30,114848.36
20240112 12:00,113384.46
20240112 12:30,109837.92
20240112 13:00,105134.84
20240112 13:30,99143.37
20240112 14:00,89851.72
20240112 14:30,69779.44
20240112 15:00,52116.58
20240112 15:30,39168.09
20240112 16:00,39484.17
20240112 16:30,47075.12
20240112 17:00,56733.9
20240112 17:30,64419.14
20240112 18:00,70882.61
20240112 18:30,76067.03
20240112 19:00,79972.27
20240112 19:30,82941.11
20240112 20:00,85711.57
20240112 20:30,87912.35
20240112 21:00,88646.34
20240112 21:30,87553.07
20240112 22:00,85693.82
20240112 22:30,82852.56
20240112 23:00,94432.6
20240112 23:30,96737.73
20240113 00:00,97421
20240113 00:30,96485
20240113 01:00,111284.56
20240113 01:30,115840.87
20240113 02:00,119021.15
20240113 02:30,120719.21
20240113 03:00,120988.56
20240113 03:30,119131.22
20240113 04:00,116229.28
20240113 04:30,111249.99
20240113 05:00,104209.53
20240113 05:30,97209.21
20240113 06:00,88642.89
20240113 06:30,86325.61
20240113 07:00,77144.04
20240113 07:30,82514.53
20240113 08:00,89777.55
20240113 08:30,102658.33
20240113 09:00,105628.56
20240113 09:30,100637.72
20240113 10:00,91623.54
20240113 10:30,85867.38
20240113 11:00,96730.65
20240113 11:30,105436.4
20240113 12:00,108802.59
20240113 12:30,107764.41
20240113 13:00,118414.53
20240113 13:30,110998.84
20240113 14:00,77397.47
20240113 14:30,60093.51
20240113 15:00,60116.93
20240113 15:30,57538.2
20240113 16:00,59919.41
20240113 16:30,66704.82
20240113 17:00,77582.37
20240113 17:30,87263.6
20240113 18:00,94330.78
20240113 18:30,99338.65
20240113 19:00,102621.63
20240113 19:30,104620.21
20240113 20:00,106445.03
20240113 20:30,107763.32
20240113 21:00,107363.51
20240113 21:30,105346.02
20240113 22:00,101757.71
20240113 22:30,97763.09
20240113 23:00,111409.83
20240113 23:30,113694.21
20240114 00:00,113656.11
20240114 00:30,111395.45
20240114 01:00,124945.82
20240114 01:30,127593.86
20240114 02:00,128944.9
20240114 02:30,128068.11
20240114 03:00,126016.29
20240114 03:30,121591.71
20240114 04:00,116182.53
20240114 04:30,109461.02
20240114 05:00,102006.32
20240114 05:30,95007.29
20240114 06:00,87411.45
20240114 06:30,87349.17
20240114 07:00,79571.87
20240114 07:30,81351.2
20240114 08:00,86957.95
20240114 08:30,97831.96
20240114 09:00,113561.46
20240114 09:30,126416.75
20240114 10:00,132172.1
20240114 10:30,133156.49
20240114 11:00,131699.38
20240114 11:30,129635.21
20240114 12:00,126951.29
