Time,Load
20240111 15:00,47991.8
20240111 15:30,51871.32
20240111 16:00,57872.35
20240111 16:30,65654.02
20240111 17:00,75942.14
20240111 17:30,83975.24
20240111 18:00,90778.5
20240111 18:30,95761.41
20240111 19:00,99267.79
20240111 19:30,101282.51
20240111 20:00,103701.56
20240111 20:30,105897.09
20240111 21:00,106142.81
20240111 21:30,104169.13
20240111 22:00,100844
20240111 22:30,96221.03
20240111 23:00,105352.79
20240111 23:30,106361.86
20240112 00:00,105796.98
20240112 00:30,103710.22
20240112 01:00,115426.32
20240112 01:30,118580.48
20240112 02:00,120253.45
20240112 02:30,120081.21
20240112 03:00,118650.67
20240112 03:30,115258.59
20240112 04:00,111098.8
20240112 04:30,106118.5
20240112 05:00,103182.94
20240112 05:30,102409.84
20240112 06:00,102790.54
20240112 06:30,106289.7
20240112 07:00,91716.94
20240112 07:30,75261.04
20240112 08:00,61444.55
20240112 08:30,54948.16
20240112 09:00,51453.05
20240112 09:30,47947.64
20240112 10:00,44533.64
20240112 10:30,41675.25
20240112 11:00,39254.94
20240112 11:30,37588.46
20240112 12:00,36113.53
20240112 12:30,32872.65
20240112 13:00,30131.52
20240112 13:30,27623.52
20240112 14:00,25272.52
20240112 14:30,22653.76
20240112 15:00,22220.4
20240112 15:30,25461.98
20240112 16:00,34513.26
20240112 16:30,45089.81
20240112 17:00,54903.41
20240112 17:30,61814.68
20240112 18:00,67598.44
20240112 18:30,72060.25
20240112 19:00,75111.71
20240112 19:30,77389.73
20240112 20:00,79881.12
20240112 20:30,81886.68
20240112 21:00,83020.78
20240112 21:30,82608.97
20240112 22:00,81199.31
20240112 22:30,78750.86
20240112 23:00,87845.8
20240112 23:30,88274.78
20240113 00:00,86914.71
20240113 00:30,84703.04
20240113 01:00,95637.3
20240113 01:30,100119.24
20240113 02:00,103595.69
20240113 02:30,106291.87
20240113 03:00,107842.49
20240113 03:30,106871.87
20240113 04:00,105086.12
20240113 04:30,101200.17
20240113 05:00,95547.17
20240113 05:30,89004.89
20240113 06:00,81737.24
20240113 06:30,78777.88
20240113 07:00,68977.51
20240113 07:30,63839.44
20240113 08:00,58801.73
20240113 08:30,56263.96
20240113 09:00,54723.85
20240113 09:30,53147.59
20240113 10:00,50928.67
20240113 10:30,47390.7
20240113 11:00,46810.3
20240113 11:30,46452.02
20240113 12:00,43921.5
20240113 12:30,38981.23
20240113 13:00,37608.89
20240113 13:30,39929.31
20240113 14:00,36785.28
20240113 14:30,36281.83
20240113 15:00,41504.58
20240113 15:30,46389.64
20240113 16:00,50890.78
20240113 16:30,58177.9
20240113 17:00,70322.44
20240113 17:30,80341.73
20240113 18:00,86546.36
20240113 18:30,89964.14
20240113 19:00,92157.17
20240113 19:30,93941.68
20240113 20:00,96216.9
20240113 20:30,97811.21
20240113 21:00,98354.63
20240113 21:30,96601.28
20240113 22:00,93737.06
20240113 22:30,90459.39
20240113 23:00,101769.72
20240113 23:30,104197.44
20240114 00:00,104355.18
20240114 00:30,102672.62
20240114 01:00,114573.25
20240114 01:30,117380.03
20240114 02:00,118653.89
20240114 02:30,118077.67
20240114 03:00,115983.57
20240114 03:30,111681.99
20240114 04:00,106647.04
20240114 04:30,99940.04
20240114 05:00,93128.3
20240114 05:30,87042.87
20240114 06:00,81563.88
20240114 06:30,81774.21
20240114 07:00,73235.49
20240114 07:30,68307.73
20240114 08:00,66534.09
20240114 08:30,66481.7
20240114 09:00,65744.95
20240114 09:30,63439.28
20240114 10:00,60305.84
20240114 10:30,57133.99
20240114 11:00,54850.16
20240114 11:30,53233.18
20240114 12:00,51116.63
20240114 12:30,46903.13
20240114 13:00,43354.64
20240114 13:30,39824.49
20240114 14:00,36499.67
20240114 14:30,32998.57
20240114 15:00,31602.24
20240114 15:30,34202.92
20240114 16:00,43605.61
20240114 16:30,55933.72
20240114 17:00,67478.47
20240114 17:30,75365.19
20240114 18:00,80591.55
20240114 18:30,83323.5
20240114 19:00,85051.02
20240114 19:30,86226.16
20240114 20:00,87659.62
20240114 20:30,88190.66
20240114 21:00,87962.71
20240114 21:30,85417.92
20240114 22:00,81754.37
20240114 22:30,77402.13
20240114 23:00,84617.19
20240114 23:30,83754.95
20240115 00:00,81589.68
20240115 00:30,79098.16
20240115 01:00,90233.74
20240115 01:30,94517.55
20240115 02:00,97348.39
20240115 02:30,99573.97
20240115 03:00,101121.38
20240115 03:30,100610.05
20240115 04:00,100106.42
20240115 04:30,98020.76
20240115 05:00,95219.94
20240115 05:30,92086.48
20240115 06:00,88829.69
20240115 06:30,88101.87
20240115 07:00,73845.6
20240115 07:30,61022.12
20240115 08:00,53555.76
20240115 08:30,49690.18
20240115 09:00,44371.35
20240115 09:30,46336.39
20240115 10:00,41436.34
20240115 10:30,39891.79
20240115 11:00,37500.51
